"Var1","Freq","trait_index"
"common_name",8318,1
"light_level",9722,2
"frost_tolerance",4543,3
"drought_tolerance",2416,4
"salinity_tolerance",627,5
"wind_tolerance",1323,6
"coastal_tolerance",937,7
"waterlogging_tolerance",334,8
"soilcompaction_tolerance",99,9
"soil_type",8574,10
"soil_volume",88,11
"soil_fertility",841,12
"soil_pH",6314,13
"establishment_care",530,14
"ideal_conditions",1515,15
"habit_canopy",3278,16
"multistem_development",247,17
"form",5706,18
"max_height_nature",222,19
"max_height",2992,20
"height",2623,21
"min_height",2918,22
"max_width",2809,23
"width",2540,24
"min_width",2787,25
"growth_rate",2828,26
"longevity",1864,27
"leaf_loss",4212,28
"foliage_colour",1791,29
"flower_colour",7320,30
"flower_period",7761,31
"characteristic_feature",2243,32
"bark_appearance",563,33
"bark_texture",1033,34
"fruit_colour",405,35
"fruit_period",161,36
"seasonal_colour",189,37
"colour_season",155,38
"juvenile_traits",263,39
"placement",4773,40
"usage",9054,41
"ecological_services",1577,42
"supp_watering",3864,43
"weed_status",1864,44
"risk",473,45
"invasive_roots",281,46
"root_depth",134,47
