Traits,Trait_index
common_name,1
light_level,2
frost_tolerance,3
drought_tolerance,4
salinity_tolerance,5
wind_tolerance,6
coastal_tolerance,7
waterlogging_tolerance,8
soilcompaction_tolerance,9
soil_type,10
soil_volume,11
soil_fertility,12
soil_pH,13
establishment_care,14
ideal_conditions,15
habit_canopy,16
multistem_development,17
form,18
max_height_nature,19
max_height,20
height,21
min_height,22
max_width,23
width,24
min_width,25
growth_rate,26
longevity,27
leaf_loss,28
foliage_colour,29
flower_colour,30
flower_period,31
characteristic_feature,32
bark_appearance,33
bark_texture,34
fruit_colour,35
fruit_period,36
seasonal_colour,37
colour_season,38
juvenile_traits,39
placement,40
usage,41
ecological_services,42
supp_watering,43
weed_status,44
risk,45
invasive_roots,46
root_depth,47
